id,Topic,Words,Frequency,Timestamp
50,49,"продовольственный, голод, африка, дефицит, грандиозный",11,2021-12-25 18:47:31.200
253,49,"голод, продовольственный, продовольствие, россиянин предупредить, предупредить опасность",11,2022-01-02 05:36:00.000
452,49,"продовольственный, хлеб, голод, кризис, дефицит",20,2022-01-09 11:12:00.000
654,49,"продовольственный, голод, голодный, хлеб, мир",8,2022-01-16 16:48:00.000
861,49,"голод, весь мир, продовольственный, заставить, мир",25,2022-01-23 22:24:00.000
1083,49,"голод, продовольствие, продовольственный, дубай, продвигать",12,2022-01-31 04:00:00.000
1301,49,"продовольственный, голод, миллиард, украина захотеть, африканский",12,2022-02-07 09:36:00.000
1516,49,"продовольственный, голод, кризис, продуктовый, мир",9,2022-02-14 15:12:00.000
1736,49,"продовольственный, продовольствие, минсельхоз, голод, дефицит",28,2022-02-21 20:48:00.000
1963,49,"продовольственный, голод, продовольствие, дефицит, пшеница",33,2022-03-01 02:24:00.000
2187,49,"продовольственный, голод, продовольствие, кризис, дефицит",63,2022-03-08 08:00:00.000
2407,49,"продовольственный, голод, продовольствие, кризис, обеспечение",51,2022-03-15 13:36:00.000
2627,49,"продовольственный, голод, кризис, продовольствие, бунт",85,2022-03-22 19:12:00.000
2849,49,"продовольственный, продовольствие, голод, кризис, глобальный",66,2022-03-30 00:48:00.000
3075,49,"продовольственный, голод, кризис, продовольствие, грозить",62,2022-04-06 06:24:00.000
3295,49,"голод, продовольственный, кризис, продовольствие, рука",23,2022-04-13 12:00:00.000
3518,49,"голод, продовольственный, продовольствие, кризис, дефицит",24,2022-04-20 17:36:00.000
3744,49,"продовольственный, голод, кризис, продовольствие, грозить",28,2022-04-27 23:12:00.000
3971,49,"продовольственный, голод, кризис, продовольствие, антонов",69,2022-05-05 04:48:00.000
4192,49,"продовольственный, голод, кризис, продовольствие, глобальный",121,2022-05-12 10:24:00.000
4417,49,"продовольственный, голод, кризис, продовольствие, мир",115,2022-05-19 16:00:00.000
4635,49,"продовольственный, голод, кризис, продовольствие, мир",160,2022-05-26 21:36:00.000
4861,49,"продовольственный, кризис, голод, продовольствие, мир",68,2022-06-03 03:12:00.000
5083,49,"продовольственный, голод, кризис, продовольствие, песок",46,2022-06-10 08:48:00.000
5301,49,"продовольственный, голод, кризис, продовольствие, бербок",77,2022-06-17 14:24:00.000
5528,49,"продовольственный, голод, продовольствие, кризис, глобальный",58,2022-06-24 20:00:00.000
5753,49,"продовольственный, голод, кризис, продовольствие, напрячь",36,2022-07-02 01:36:00.000
5972,49,"продовольственный, голод, кризис, продовольствие, еда",26,2022-07-09 07:12:00.000
6191,49,"голод, продовольственный, кризис, продовольствие, оон",52,2022-07-16 12:48:00.000
6410,49,"продовольственный, кризис, голод, продовольствие, безопасность",24,2022-07-23 18:24:00.000