Week of fetchdate_orig	page_domain_root	page_url	title_new	OR and OR2 and AND filters	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
11 July 2022	aif.ru	https://aif.ru/politics/world/vs_rf_unichtozhili_okolo_200_nacionalistov_iz_batalona_kraken	вс рф уничтожили около     националистов из батальона  кракен	True	184077	(?=.*).*	(уничтож)	(наци|националист)
20 June 2022	deita.ru	https://deita.ru/article/518704	минобороны рф  военнослужащие уничтожили     украинских националистов	True	82076	(?=.*).*	(уничтож)	(наци|националист)
11 July 2022	deita.ru	https://deita.ru/article/519536	уничтожить идеи нацизма на украине поможет сво  уверены в приморье	True	107853	(?=.*).*	(уничтож)	(наци|националист)
13 June 2022	duma.gov.ru	http://duma.gov.ru/news/54622/	вячеслав володин  неонацистский режим  уничтожив историю своего народа  превратил украину в колонию сша	True	125412	(?=.*).*	(уничтож)	(наци|националист)
4 April 2022	infox.ru	https://www.infox.ru/news/271/272514-unictozaut-po-nacionalnomu-principu-nemcy-obrekli-na-smert-russkih-detej	уничтожают по национальному принципу  немцы обрекли на смерть русских детей	True	77730	(?=.*).*	(уничтож)	(наци|националист)
4 April 2022	lenta.ru	https://lenta.ru/news/2022/04/10/dnepr/	минобороны сообщило об уничтожении базы националистического батальона на украине	True	283207	(?=.*).*	(уничтож)	(наци|националист)
11 April 2022	lenta.ru	https://lenta.ru/news/2022/04/16/unichtojenie/	в днр заявили о подлежащих уничтожению националистах в мариуполе	True	287151	(?=.*).*	(уничтож)	(наци|националист)
2 May 2022	lenta.ru	https://lenta.ru/news/2022/05/03/190/	минобороны отчиталось об уничтожении почти     националистов на украине	True	281727	(?=.*).*	(уничтож)	(наци|националист)
2 May 2022	mk.ru	https://www.mk.ru/politics/2022/05/04/vecherniy-brifing-minoborony-aviaciya-vks-rossii-unichtozhila-310-nacionalistov.html	вечерний брифинг минобороны  авиация вкс россии уничтожила     националистов	True	150559	(?=.*).*	(уничтож)	(наци|националист)
20 June 2022	riafan.ru	https://riafan.ru/23496682-bloger_puchkov_ukrainskim_natsistam_nikogda_ne_unichtozhit_nasledie_russkih_kompozitorov	блогер пучков  украинским нацистам никогда не уничтожить наследие русских композиторов	True	403217	(?=.*).*	(уничтож)	(наци|националист)
13 June 2022	ria.ru	https://ria.ru/20220614/minoborony-1795146264.html	вкс россии уничтожили более     украинских националистов	True	205387	(?=.*).*	(уничтож)	(наци|националист)
13 June 2022	ria.ru	https://ria.ru/20220615/spetsoperatsiya-1795386851.html	российская авиация за сутки уничтожила более     украинских националистов	True	229340	(?=.*).*	(уничтож)	(наци|националист)
13 June 2022	ria.ru	https://ria.ru/20220617/natsionalisty-1796043044.html	вс россии уничтожили более     украинских националистов за сутки	True	236246	(?=.*).*	(уничтож)	(наци|националист)
13 June 2022	ria.ru	https://ria.ru/20220617/spetsoperatsiya-1796043300.html	российская военная авиация уничтожила более     украинских националистов	True	236249	(?=.*).*	(уничтож)	(наци|националист)
13 June 2022	ria.ru	https://ria.ru/20220618/natsionalisty-1796430244.html	вс россии уничтожили более     украинских националистов за сутки	True	232983	(?=.*).*	(уничтож)	(наци|националист)
28 February 2022	rt.com	https://russian.rt.com/ussr/news/970882-vs-rossii-ukraina-nacionalisty	минобороны россии  основные группировки украинских националистов окружаются и уничтожаются	True	242333	(?=.*).*	(уничтож)	(наци|националист)
28 February 2022	rt.com	https://russian.rt.com/world/news/970656-sankcii-rossiya-kanada	политолог бальбек заявил об уничтожении самоидентичности российской нации западом	True	242154	(?=.*).*	(уничтож)	(наци|националист)
28 February 2022	ura.news	https://ura.news/news/1052535813	бард новиков призвал уничтожить  нацистскую сволочь  на украине	True	296252	(?=.*).*	(уничтож)	(наци|националист)
21 March 2022	ura.news	https://ura.news/news/1052541370	минобороны  военный рф в одиночку уничтожил    нацистов	True	293934	(?=.*).*	(уничтож)	(наци|националист)
11 April 2022	ura.news	https://ura.news/news/1052546303	глава днр призвал к уничтожению националистов в мариуполе	True	298618	(?=.*).*	(уничтож)	(наци|националист)
18 April 2022	ura.news	https://ura.news/news/1052546504	кп  националистов в  азовстали  уничтожат с помощью огнеметов	True	300924	(?=.*).*	(уничтож)	(наци|националист)
28 February 2022	regnum.ru	https://regnum.ru/news/3526118.html	су    вкс россии уничтожил военный объект украинских националистов	True	363604	(?=.*).*	(уничтож)	(наци|националист)
7 March 2022	regnum.ru	https://regnum.ru/news/3526288.html	нацики ушли в города    сети об уничтожении военной инфраструктуры украины	True	361890	(?=.*).*	(уничтож)	(наци|националист)
7 March 2022	regnum.ru	https://regnum.ru/news/polit/3529813.html	опорный пункт украинских националистов уничтожен российским беспилотником	True	364923	(?=.*).*	(уничтож)	(наци|националист)
7 March 2022	regnum.ru	https://regnum.ru/news/3531592.html	минобороны показало кадры уничтожения опорного пункта националистов из бпла	True	363278	(?=.*).*	(уничтож)	(наци|националист)
28 March 2022	ria.ru	https://ria.ru/20220403/dnr-1781522075.html	силы днр за сутки уничтожили    украинских националистов	True	215285	(?=.*).*	(уничтож)	(наци|националист)
28 March 2022	ria.ru	https://ria.ru/20220403/dnr-1781563594.html	силы днр за сутки уничтожили    украинских националистов	True	207646	(?=.*).*	(уничтож)	(наци|националист)
4 April 2022	ria.ru	https://ria.ru/20220404/donbass-1781626615.html	войска днр за сутки уничтожили более    националистов	True	217914	(?=.*).*	(уничтож)	(наци|националист)
25 April 2022	ria.ru	https://ria.ru/20220427/dnr-1785827959.html	силы днр за сутки уничтожили    украинских националистов	True	236499	(?=.*).*	(уничтож)	(наци|националист)
25 April 2022	ria.ru	https://ria.ru/20220429/natsionalisty-1786242664.html	силы народной милиции днр уничтожили за сутки    украинских националистов	True	238585	(?=.*).*	(уничтож)	(наци|националист)
25 April 2022	ria.ru	https://ria.ru/20220429/natsionalisty-1786248300.html	российская артиллерия уничтожила более     националистов на украине	True	238602	(?=.*).*	(уничтож)	(наци|националист)
25 April 2022	ria.ru	https://ria.ru/20220430/donbass-1786308564.html	силы народной милиции днр уничтожили за сутки    украинских националистов	True	219278	(?=.*).*	(уничтож)	(наци|националист)
25 April 2022	ria.ru	https://ria.ru/20220430/natsionalisty-1786305872.html	вкс россии уничтожили более     националистов на украине за ночь	True	219269	(?=.*).*	(уничтож)	(наци|националист)
25 April 2022	ria.ru	https://ria.ru/20220430/natsionalisty-1786377520.html	за сутки в днр уничтожены    украинских националиста	True	219369	(?=.*).*	(уничтож)	(наци|националист)
25 April 2022	ria.ru	https://ria.ru/20220501/dnr-1786428159.html	военнослужащие днр уничтожили    украинского националиста за сутки	True	229677	(?=.*).*	(уничтож)	(наци|националист)
2 May 2022	ria.ru	https://ria.ru/20220502/dnr-1786574483.html	силы днр за сутки уничтожили    украинских националиста	True	223976	(?=.*).*	(уничтож)	(наци|националист)
2 May 2022	ria.ru	https://ria.ru/20220504/dnr-1786871152.html	силы днр за сутки уничтожили    украинских националистов	True	221386	(?=.*).*	(уничтож)	(наци|националист)
11 April 2022	tvc.ru	http://www.tvc.ru/news/show/id/237982	в мариуполе продолжается уничтожение украинских националистов	True	16533	(?=.*).*	(уничтож)	(наци|националист)
2 May 2022	tvc.ru	http://www.tvc.ru/news/show/id/239534	вс россии уничтожили до     националистов и    единицу техники всу	True	6974	(?=.*).*	(уничтож)	(наци|националист)
25 April 2022	mk.ru	https://www.mk.ru/politics/2022/04/27/minoborony-vks-rf-unichtozhili-svyshe-210-nacionalistov.html	минобороны  вкс рф уничтожили свыше     националистов	True	149803	(?=.*).*	(уничтож)	(наци|националист)
25 April 2022	mk.ru	https://www.mk.ru/politics/2022/04/30/minoborony-eshhe-200-ukrainskikh-nacionalistov-unichtozheny-rossiyskimi-vks-za-den.html	минобороны  еще     украинских националистов уничтожены российскими вкс за день	True	140518	(?=.*).*	(уничтож)	(наци|националист)
2 May 2022	vsesmi.ru	http://www.vsesmi.ru/policy/2022/05/03/3401578/	минобороны сообщило об уничтожении более     украинских националистов	True	86707	(?=.*).*	(уничтож)	(наци|националист)
16 May 2022	riafan.ru	https://riafan.ru/23451380-podrazdeleniya_nm_dnr_za_sutki_unichtozhili_22_ukrainskih_natsionalista	подразделения нм днр за сутки уничтожили    украинских националиста	True	425276	(?=.*).*	(уничтож)	(наци|националист)
23 May 2022	riafan.ru	https://riafan.ru/23451962-minoboroni_aviatsiya_vks_rf_za_sutki_unichtozhila_bolee_230_ukrainskih_natsionalistov	минобороны  авиация вкс рф за сутки уничтожила более     украинских националистов	True	424868	(?=.*).*	(уничтож)	(наци|националист)
4 July 2022	riafan.ru	https://riafan.ru/23520479-soyuznie_sili_za_sutki_unichtozhili_bolee_60_ukrainskih_natsionalistov_v_donbasse	союзные силы за сутки уничтожили более    украинских националистов в донбассе	True	438158	(?=.*).*	(уничтож)	(наци|националист)
11 July 2022	riafan.ru	https://riafan.ru/23530886-vks_rf_unichtozhili_250_naemnikov_i_ukrainskih_natsionalistov_v_har_kove	вкс рф уничтожили     наемников и украинских националистов в харькове	True	434677	(?=.*).*	(уничтож)	(наци|националист)
14 March 2022	ria.ru	https://ria.ru/20220317/ukraina-1778623259.html	минобороны опубликовало кадры уничтожения позиций украинских националистов	True	211131	(?=.*).*	(уничтож)	(наци|националист)
21 March 2022	ria.ru	https://ria.ru/20220323/spetsnaz-1779674054.html	российский спецназ уничтожил более     националистов в харьковской области	True	220788	(?=.*).*	(уничтож)	(наци|националист)
21 March 2022	ria.ru	https://ria.ru/20220325/natsionalisty-1780167882.html	силы днр уничтожили    украинских националиста с начала суток	True	210957	(?=.*).*	(уничтож)	(наци|националист)
28 March 2022	ria.ru	https://ria.ru/20220328/natsionalisty-1780558567.html	силы днр за сутки уничтожили    украинских националиста	True	212310	(?=.*).*	(уничтож)	(наци|националист)
28 March 2022	ria.ru	https://ria.ru/20220330/natsionalisty-1780958989.html	в днр заявили об уничтожении    украинских националистов за сутки	True	210699	(?=.*).*	(уничтож)	(наци|националист)
28 March 2022	ria.ru	https://ria.ru/20220331/dnr-1781172250.html	силы днр за сутки уничтожили    украинских националистов	True	206822	(?=.*).*	(уничтож)	(наци|националист)
28 March 2022	ria.ru	https://ria.ru/20220401/dnr-1781224760.html	силы днр за сутки уничтожили    украинских националистов	True	207723	(?=.*).*	(уничтож)	(наци|националист)
21 March 2022	inosmi.ru	https://inosmi.ru/20220321/aviaudar-253472744.html	российские военные ударами крылатых ракет уничтожили    наемников и националистов	True	321321	(?=.*).*	(уничтож)	(наци|националист)
6 June 2022	inosmi.ru	https://inosmi.ru/20220609/polsha-254489841.html	трижды уничтоженная  польша забыла  что ссср освободил ее от нацистов	True	323025	(?=.*).*	(уничтож)	(наци|националист)
11 April 2022	mk.ru	https://www.mk.ru/politics/2022/04/15/narodnaya-miliciya-dnr-zayavila-ob-unichtozhenii-52-ukrainskikh-nacionalistov.html	народная милиция днр заявила об уничтожении    украинских националистов	True	150937	(?=.*).*	(уничтож)	(наци|националист)
11 April 2022	mk.ru	https://www.mk.ru/politics/2022/04/16/pushilin-o-nacionalistakh-v-mariupole-sdavatsya-ne-sobirayutsya-podlezhat-unichtozheniyu.html	пушилин о националистах в мариуполе   сдаваться не собираются  подлежат уничтожению	True	151704	(?=.*).*	(уничтож)	(наци|националист)
6 June 2022	riafan.ru	https://riafan.ru/23480845-real_no_li_unichtozhit_neonatsizm_na_ukraine_ne_unichtozhiv_ego_v_evrope_obsudyat_v_patriote	реально ли уничтожить неонацизм на украине  не уничтожив его в европе  обсудят в  патриоте	True	438547	(?=.*).*	(уничтож)	(наци|националист)
6 June 2022	riafan.ru	https://riafan.ru/23481138-minoboroni_vs_rf_unichtozhili_za_sutki_bolee_350_ukrainskih_natsionalistov	минобороны  вс рф уничтожили за сутки более     украинских националистов	True	438530	(?=.*).*	(уничтож)	(наци|националист)
13 June 2022	riafan.ru	https://riafan.ru/23489222-orduhanyan_zahvativshie_vlast_na_ukraine_natsionalisti_vedut_bor_bu_na_samounichtozhenie	ордуханян  захватившие власть на украине националисты ведут борьбу на самоуничтожение	True	437640	(?=.*).*	(уничтож)	(наци|националист)
13 June 2022	riafan.ru	https://riafan.ru/23490297-sili_narodnoi_militsii_lnr_za_sutki_unichtozhili_okolo_30_ukrainskih_natsionalistov	силы народной милиции лнр за сутки уничтожили около    украинских националистов	True	439029	(?=.*).*	(уничтож)	(наци|националист)
13 June 2022	riafan.ru	https://riafan.ru/23492025-raketnie_voiska_i_artilleriya_rf_za_sutki_unichtozhili_bolee_350_ukrainskih_natsionalistov	ракетные войска и артиллерия рф за сутки уничтожили более     украинских националистов	True	435868	(?=.*).*	(уничтож)	(наци|националист)
11 July 2022	riafan.ru	https://riafan.ru/23536417-minoboroni_vs_rf_unichtozhili_do_1000_ukrainskih_natsionalistov_v_nikolaevskoi_oblasti_i_dnr	минобороны  вс рф уничтожили до      украинских националистов в николаевской области и днр	True	437880	(?=.*).*	(уничтож)	(наци|националист)
11 July 2022	riafan.ru	https://riafan.ru/23538042-vs_rf_unichtozhili_300_natsionalistov_pravogo_sektora_v_har_kovskoi_oblasti	вс рф уничтожили     националистов  правого сектора  в харьковской области	True	435344	(?=.*).*	(уничтож)	(наци|националист)
18 July 2022	riafan.ru	https://riafan.ru/23542854-vs_rf_unichtozhili_do_60_ukrainskih_natsionalistov_v_cherkasskoi_oblasti	вс рф уничтожили до    украинских националистов в черкасской области	True	431278	(?=.*).*	(уничтож)	(наци|националист)
20 June 2022	ria.ru	https://ria.ru/20220626/spetsoperatsiya-1798209544.html	российская авиация уничтожила более     украинских националистов	True	228035	(?=.*).*	(уничтож)	(наци|националист)
21 February 2022	regnum.ru	https://regnum.ru/news/polit/3518727.html	рвио  на украине   нацистская диктатура  нацист должен быть уничтожен	True	363992	(?=.*).*	(уничтож)	(наци|националист)
21 February 2022	regnum.ru	https://regnum.ru/news/polit/3518727.html	эксперт  на украине   нацистская диктатура  нацист должен быть уничтожен	True	363995	(?=.*).*	(уничтож)	(наци|националист)
28 February 2022	regnum.ru	https://regnum.ru/news/3524605.html	нацисты отступают из донбасса  уничтожая водоснабжение и энергетику   мо рф	True	374333	(?=.*).*	(уничтож)	(наци|националист)
23 May 2022	lenta.ru	https://lenta.ru/news/2022/05/24/biden/	сша предсказали  общенациональное самоуничтожение  из за политики байдена	True	281958	(?=.*).*	(уничтож)	(наци|националист)
20 June 2022	mk.ru	https://www.mk.ru/politics/2022/06/26/boeviki-azova-ubili-i-sozhgli-tela-inostrannykh-naemnikov.html	на заводе  азовсталь  националисты уничтожили тела     иностранных наемников	True	143243	(?=.*).*	(уничтож)	(наци|националист)
14 March 2022	tvc.ru	http://www.tvc.ru/news/show/id/235747	вертолёты ка    уничтожили опорный пункт украинских националистов  видео	True	83075	(?=.*).*	(уничтож)	(наци|националист)
28 March 2022	tvc.ru	http://www.tvc.ru/news/show/id/236651	минобороны показало кадры уничтожения беспилотника украинских националистов	True	47258	(?=.*).*	(уничтож)	(наци|националист)
28 February 2022	argumenti.ru	https://argumenti.ru/politics/2022/03/762228	конашенков  после уничтожения вс рф основных группировок украинских националистов запад нарастил отправку наемников	True	491320	(?=.*).*	(уничтож)	(наци|националист)
7 March 2022	argumenti.ru	https://argumenti.ru/world/2022/03/762884	расчет российского зрк  оказавшийся в окружении украинских националистов  уничтожил девять самолетов и пять дронов	True	488896	(?=.*).*	(уничтож)	(наци|националист)
21 March 2022	argumenti.ru	https://argumenti.ru/politics/2022/03/765235	военнослужащие днр за сутки уничтожили    украинских националиста	True	490374	(?=.*).*	(уничтож)	(наци|националист)
28 March 2022	argumenti.ru	https://argumenti.ru/world/2022/04/766061	минобороны россии  силы лнр за ночь уничтожили до    украинских националистов и одну артиллерийскую батарею	True	487920	(?=.*).*	(уничтож)	(наци|националист)
28 March 2022	argumenti.ru	https://argumenti.ru/army/2022/04/766264	конашенков  оперативно тактическим комплексом  искандер  атакован штаб обороны в харькове  уничтожено более     националистов	True	490319	(?=.*).*	(уничтож)	(наци|националист)
25 April 2022	argumenti.ru	https://argumenti.ru/world/2022/04/769366	российские вкс поразили    военных объектов украины и уничтожили около     националистов	True	495115	(?=.*).*	(уничтож)	(наци|националист)
25 April 2022	argumenti.ru	https://argumenti.ru/army/2022/04/770031	силы народной милиции днр уничтожили за сутки    украинских националистов	True	491418	(?=.*).*	(уничтож)	(наци|националист)
25 April 2022	argumenti.ru	https://argumenti.ru/army/2022/04/770091	конашенков  в результате ударов уничтожены свыше     националистов и    единицы бронетехники	True	490614	(?=.*).*	(уничтож)	(наци|националист)
9 May 2022	argumenti.ru	https://argumenti.ru/society/nature/2022/05/772013	конашенков  уничтожены до     националистов  выведены из строя    единиц военной техники	True	492386	(?=.*).*	(уничтож)	(наци|националист)
23 May 2022	argumenti.ru	https://argumenti.ru/army/2022/05/773139	конашенков  уничтожены более     националистов  выведены из строя    единицы украинской военной техники	True	492863	(?=.*).*	(уничтож)	(наци|националист)
23 May 2022	argumenti.ru	https://argumenti.ru/army/2022/05/773755	конашенков  уничтожены более     ти националистов  выведены из строя    единицы вооружения и военной техники	True	493575	(?=.*).*	(уничтож)	(наци|националист)
23 May 2022	argumenti.ru	https://argumenti.ru/world/2022/05/773706	российская авиация уничтожила более     украинских националистов     танков и   установок рсзо  град	True	493153	(?=.*).*	(уничтож)	(наци|националист)
30 May 2022	argumenti.ru	https://argumenti.ru/army/2022/06/774910	конашенков  авиацией рф уничтожено более     националистов     единиц военной техники и другие цели	True	493840	(?=.*).*	(уничтож)	(наци|националист)
6 June 2022	argumenti.ru	https://argumenti.ru/world/2022/06/775472	минобороны рф  авиация за сутки уничтожила более     украинских националистов  пять танков  два  града  и артиллерийский склад	True	495032	(?=.*).*	(уничтож)	(наци|националист)
6 June 2022	argumenti.ru	https://argumenti.ru/army/2022/06/775657	генерал лейтенант конашенков  уничтожено более     националистов    единиц бронетехники и другие цели	True	494929	(?=.*).*	(уничтож)	(наци|националист)
13 June 2022	argumenti.ru	https://argumenti.ru/politics/2022/06/776421	володин   неонацистский режим  уничтожив историю своего народа  превратил украину в колонию сша	True	495306	(?=.*).*	(уничтож)	(наци|националист)
4 July 2022	argumenti.ru	https://argumenti.ru/world/2022/07/779934	военные россии и днр уничтожили под угледаром группу украинских националистов  собиравшихся зайти на позиции нм республики	True	494088	(?=.*).*	(уничтож)	(наци|националист)
21 February 2022	trud.ru	https://www.trud.ru/article/25-02-2022/1413113_vs_rf_zanjali_aerodrom_gostomel_pod_kievom_unichtozhiv_200_natsionalistov.html	вс рф заняли аэродром гостомель под киевом  уничтожив     националистов	True	271748	(?=.*).*	(уничтож)	(наци|националист)
28 February 2022	trud.ru	https://www.trud.ru/article/04-03-2022/1413343_vsu_unichtozhili_tochkami_bolee_20_neonatsistov_azova.html	всу уничтожили  точками  более    неонацистов  азова	True	272214	(?=.*).*	(уничтож)	(наци|националист)
14 March 2022	trud.ru	https://www.trud.ru/article/16-03-2022/1413739_armija_rossii_i_dnr_unichtozhila_bolee_70_boevikov-neonatsistov.html	армия россии и днр уничтожила более    боевиков неонацистов	True	271990	(?=.*).*	(уничтож)	(наци|националист)
14 March 2022	trud.ru	https://www.trud.ru/article/18-03-2022/1413849_russkaja_koalitsija_za_sutki_unichtozhila_50_ukrainskix_natsionalistov.html	русская коалиция за сутки уничтожила    украинских националистов	True	271591	(?=.*).*	(уничтож)	(наци|националист)
14 March 2022	trud.ru	https://www.trud.ru/article/18-03-2022/1413858_rossijskie_iskandery_unichtozhili_raketnye_ustanovki_ukrainskix_neonatsistov.html	российские  искандеры  уничтожили ракетные установки украинских неонацистов	True	271604	(?=.*).*	(уничтож)	(наци|националист)
6 June 2022	trud.ru	https://www.trud.ru/article/07-06-2022/1416857_minoborony_ukrainskie_natsionalisty_unichtozhili_50_000_tonn_zerna_v_portu_mariupolja.html	минобороны  украинские националисты уничтожили        тонн зерна в порту мариуполя	True	272941	(?=.*).*	(уничтож)	(наци|националист)
9 May 2022	rueconomics.ru	https://rueconomics.ru/23188865-polkovnik_nasonov_zasevshie_v_azovstali_natsionalisti_mogut_reshit_sya_na_samounichtozhenie	полковник насонов  засевшие в  азовстали  националисты могут решиться на самоуничтожение	True	526485	(?=.*).*	(уничтож)	(наци|националист)
21 February 2022	runews24.ru	https://runews24.ru:443/politics/27/02/2022/7f1de2s629b40027c5452d14da750bb9	минобороны рф  потери среди российских военнослужащих  многократно меньше уничтоженных националистов	True	464726	(?=.*).*	(уничтож)	(наци|националист)
28 February 2022	pravda.ru	https://www.pravda.ru/news/politics/1688000-ukrainskie_nacionalisty/	кедми  украинские неонацисты спутали сша все карты в игре на уничтожение россии	True	345068	(?=.*).*	(уничтож)	(наци|националист)
7 March 2022	pravda.ru	https://www.pravda.ru/world/1689205-ukraina_nazi/	когнитивный диссонанс в кремле  москва хочет уничтожить нацизм руками нацистов	True	344395	(?=.*).*	(уничтож)	(наци|националист)
11 April 2022	pravda.ru	https://www.pravda.ru/world/1699432-kherson_russia/	в херсоне объяснили цели военной спецоперации рф   уничтожим нацизм вместе	True	345895	(?=.*).*	(уничтож)	(наци|националист)
11 April 2022	pravda.ru	https://www.pravda.ru/world/1699432-kherson_russia/	уничтожим нацизм вместе   в херсоне объяснили цели военной спецоперации рф	True	345893	(?=.*).*	(уничтож)	(наци|националист)
18 July 2022	riafan.ru	https://riafan.ru/23550184-sobitiya_na_ukraine_k_12_00_22_iyulya_unichtozhenie_natsionalistov_v_kramatorske_pomosch_krima_v_uborke_urozhaya	события на украине к          июля  уничтожение националистов в краматорске  помощь крыма в уборке урожая	True	429362	(?=.*).*	(уничтож)	(наци|националист)
25 July 2022	riafan.ru	https://riafan.ru/23554966-vks_rf_unichtozhili_bolee_100_natsionalistov_i_inostrannih_naemnikov_v_konstantinovke	вкс рф уничтожили более     националистов и иностранных наемников в константиновке	True	434050	(?=.*).*	(уничтож)	(наци|националист)
30 May 2022	aif.ru	https://aif.ru/incidents/vs_rf_unichtozhili_punkty_upravleniya_nacionalistov_okolo_harkova	вс рф уничтожили пункты управления националистов около харькова	True	180319	(?=.*).*	(уничтож)	(наци|националист)
20 June 2022	aif.ru	https://aif.ru/politics/world/mo_rf_vks_unichtozhili_500_nacionalistov_na_zavode_okean_v_nikolaeve	мо рф  вкс уничтожили     националистов на заводе  океан  в николаеве	True	185705	(?=.*).*	(уничтож)	(наци|националист)
16 May 2022	riafan.ru	https://riafan.ru/23441928-minoboroni_rf_zayavilo_ob_unichtozhenii_280_ukrainskih_natsionalistov_za_sutki	минобороны рф заявило об уничтожении     украинских националистов за сутки	True	432474	(?=.*).*	(уничтож)	(наци|националист)
7 February 2022	rt.com	https://russian.rt.com/science/article/958941-razvedchik-aleksei-botyan	самородок разведки   как алексей ботян воевал в тылу нацистов и спас от уничтожения краков	True	247356	(?=.*).*	(уничтож)	(наци|националист)
30 May 2022	regnum.ru	https://regnum.ru/news/3610777.html	кадыров заявил об уничтожении группы националистов в камышевахе	True	393756	(?=.*).*	(уничтож)	(наци|националист)
